Classifier,Feature_Set,Accuracy,Precision,Recall,F1,CV_Mean,CV_Std
Logistic Regression,Original Features,0.5689053641517663,0.563238512035011,0.5679611650485437,0.5655899802241265,0.5816618977177109,0.010380653123901223
SVM (Linear),Original Features,0.5787178368948975,0.5727351916376306,0.5803177405119153,0.5765015344147304,0.5864044383771247,0.007547304109989707
SVM (RBF),Original Features,0.6223288268643699,0.6216955332725616,0.6019417475728155,0.611659192825112,0.6121348127923749,0.007263469914994183
Random Forest,Original Features,0.6053205407762756,0.6036363636363636,0.5860547219770521,0.5947156291983878,0.6045569098042993,0.008717031681865146
Neural Network,Original Features,0.623637156563454,0.6068883610451307,0.676522506619594,0.6398163606010017,0.6081557498009347,0.0067377545593884074
Gradient Boosting,Original Features,0.618839947666812,0.6147032772364924,0.6125330979699912,0.6136162687886826,0.6123532719685966,0.01036797873946132
Naive Bayes,Original Features,0.5586567815089403,0.5383153894870171,0.7502206531332745,0.6268436578171092,0.5573488477987489,0.008413609789047575
K-Nearest Neighbors,Original Features,0.5887483645878762,0.5866788321167883,0.5675198587819947,0.5769403319874383,0.5926729089518626,0.006038079107022162
Logistic Regression,Enhanced Features,0.6044483209768862,0.6142568250758341,0.5361871138570168,0.5725730442978322,0.5965440649991841,0.0068018381070617025
SVM (Linear),Enhanced Features,0.5920191888355866,0.6455416359616801,0.38658428949691087,0.48357714601159263,0.591038284450492,0.004686792217265298
SVM (RBF),Enhanced Features,0.6098996947230703,0.6273358248798718,0.5185348631950574,0.5677699927518725,0.6012323326714168,0.007403073533628509
Random Forest,Enhanced Features,0.6020497165285652,0.6004555808656037,0.5816416593115622,0.5908989015915714,0.6054293792816884,0.006535836357602009
Neural Network,Enhanced Features,0.6245093763628434,0.6145745577085089,0.6438658428949691,0.6288793103448276,0.612953469978805,0.012307838068738055
Gradient Boosting,Enhanced Features,0.6227649367640645,0.6164205039096438,0.6262135922330098,0.6212784588441331,0.6134978791626504,0.009300136481212421
Naive Bayes,Enhanced Features,0.5276929786306149,0.512218963831867,0.9249779346866726,0.659326832337213,0.5332534248305751,0.006502800122384187
K-Nearest Neighbors,Enhanced Features,0.5913650239860445,0.5868794326241135,0.5842894969108562,0.5855816010614773,0.5883667813651647,0.006680569627590553
