Feature,F_Score,P_Value,Type,MI_Score,RF_Importance,LASSO_Coef,Consensus_Score
W,339.143257105258,4.655730232077921e-75,Original,0.0357728902558021,0.05045123685784787,0.07213164815293709,0.7405346990666619
V,356.75866265875084,8.004509794063359e-79,Original,0.03645898963422867,0.07281691513486603,0.06097029415071529,0.7171451942747671
W F,60.869763437794795,6.423517369996773e-15,Interaction,0.04893029872611776,0.06952283462956675,0.03826863546348445,0.5545411134580956
V S,248.2176031095708,1.4702307756521207e-55,Quadratic,0.05748499437646726,0.05531002389363975,0.0,0.4917071160083441
F^2,136.70673767539978,1.8076725224281347e-31,Interaction,0.04975885030308902,0.04754623512594073,0.049262037634305283,0.48765300890441343
S,371.89295258235387,4.7008206181675393e-82,Original,0.04505643786957014,0.04431612228072145,0.006886520299920895,0.43852053101991223
S W,14.057750977237855,0.00017782617082433231,Interaction,0.039156365256812986,0.07345108150435825,0.007375688528283971,0.41543420976122497
W C,18.2169835434609,1.981027432943489e-05,Interaction,0.03772699659330425,0.07163431192441641,0.0,0.3899561613242378
W^2,45.57825677887779,1.5105108260080106e-11,Interaction,0.059960504158619754,0.04860589949016195,0.0060988848259727595,0.3881718610374056
V^2,62.22139921325647,3.2407164543782847e-15,Quadratic,0.04175677437580272,0.041149648407228505,0.013558553127386071,0.3793849602013309
C,187.31613723502403,1.980044891508767e-42,Original,0.03371856220107872,0.06432135657405175,0.014305501453608661,0.3537864916136764
F,598.6502026116788,3.987566441220135e-130,Original,0.03991299800049042,0.03575340322329309,0.0,0.3333985768007804
S F,3.5734435285374238,0.058726193761983125,Interaction,0.045891923566446335,0.04765729774736565,0.0072470592411177535,0.33294338792925304
S C,38.60181548199196,5.309054154112011e-10,Interaction,0.04586365035842532,0.045797091712865244,0.0,0.2874475484860358
V F,34.286049613926565,4.839012576217187e-09,Quadratic,0.029892994798249584,0.06056845839387185,0.0010162284656778644,0.28359339045482945
S^2,260.4555269759556,3.436148639261567e-58,Interaction,0.030994321990474694,0.04090505453221151,0.022484422933299712,0.26547216227289155
C^2,294.1018835551483,2.0552205825608864e-65,Interaction,0.015534343808813356,0.026938574496763405,0.04792180924863982,0.2441731793612201
V W,3.772727652508991,0.05210990142635934,Quadratic,0.03532818882726163,0.03565205160206367,0.00552320906608567,0.23401268607232162
V C,2.203628330531558,0.1377035007915839,Quadratic,0.015446746046168025,0.028101719132211253,0.025457111025063404,0.21683207347012637
F C,62.98731333679482,2.1994890074982783e-15,Interaction,0.038450598299090366,0.03950068333655508,0.001831067711205658,0.20306151062564465
