Feature,F_Score,P_Value,Type,MI_Score,RF_Importance,LASSO_Coef,Consensus_Score
W,339.143257105258,4.655730232077921e-75,Original,0.0357728902558021,0.05045123685784787,0.07213164815293709,0.7405346990666619
V,356.75866265875084,8.004509794063359e-79,Original,0.03645898963422867,0.07281691513486603,0.06097029415071529,0.7171451942747671
S,371.89295258235387,4.7008206181675393e-82,Original,0.04505643786957014,0.04431612228072145,0.006886520299920895,0.43852053101991223
C,187.31613723502403,1.980044891508767e-42,Original,0.03371856220107872,0.06432135657405175,0.014305501453608661,0.3537864916136764
F,598.6502026116788,3.987566441220135e-130,Original,0.03991299800049042,0.03575340322329309,0.0,0.3333985768007804
V S,248.2176031095708,1.4702307756521207e-55,Quadratic,0.05748499437646726,0.05531002389363975,0.0,0.4917071160083441
V^2,62.22139921325647,3.2407164543782847e-15,Quadratic,0.04175677437580272,0.041149648407228505,0.013558553127386071,0.3793849602013309
V F,34.286049613926565,4.839012576217187e-09,Quadratic,0.029892994798249584,0.06056845839387185,0.0010162284656778644,0.28359339045482945
W F,60.869763437794795,6.423517369996773e-15,Interaction,0.04893029872611776,0.06952283462956675,0.03826863546348445,0.5545411134580956
F^2,136.70673767539978,1.8076725224281347e-31,Interaction,0.04975885030308902,0.04754623512594073,0.049262037634305283,0.48765300890441343
S W,14.057750977237855,0.00017782617082433231,Interaction,0.039156365256812986,0.07345108150435825,0.007375688528283971,0.41543420976122497
W C,18.2169835434609,1.981027432943489e-05,Interaction,0.03772699659330425,0.07163431192441641,0.0,0.3899561613242378
W^2,45.57825677887779,1.5105108260080106e-11,Interaction,0.059960504158619754,0.04860589949016195,0.0060988848259727595,0.3881718610374056
